Zip,Longitude,Latitude
71937.0,-94.39398,34.398483
72044.0,-92.16056,35.624351000000004
56171.0,-94.74356999999999,43.660847
49430.0,-85.89754,43.010337
52585.0,-91.98026999999999,41.194129
47520.0,-86.67820999999999,37.934311
49464.0,-85.99620999999999,42.829252000000004
49919.0,-88.52201,46.559834
52401.0,-91.65912,41.97545
35979.0,-85.61564,34.831241999999996
36350.0,-85.48718000000001,31.319083000000003
38401.0,-87.03565,35.619784
41065.0,-83.718626,38.3481
55302.0,-94.11692,45.246631
29607.0,-82.34099,34.825592
31150.0,-84.47405,33.844371
31646.0,-82.08063,30.518903
31826.0,-84.69384000000001,32.803518
17932.0,-76.503339,40.649109
18947.0,-75.11842,40.426390999999995
20227.0,-77.014647,38.893311
14043.0,-78.7006,42.904958
15278.0,-80.024817,40.434436
15482.0,-79.76338,40.062849
33446.0,-80.16509,26.452472999999998
27915.0,-75.50417,35.354252
23328.0,-76.278531,36.7085
24062.0,-80.395698,37.174227
26253.0,-79.89057,38.827205
2472.0,-71.18196,42.371296
7309.0,-74.075485,40.73276
623.0,-67.15222,18.08643
52163.0,-92.09219,43.216609999999996
52216.0,-91.04567,41.888182
53031.0,-87.915705,43.639395
60651.0,-87.74055,41.901485
62090.0,-90.17052,38.67065
62420.0,-87.99863,39.299447
64503.0,-94.83237,39.741794
65325.0,-93.19156,38.451021000000004
65638.0,-92.33081,36.851944
74801.0,-96.93544,35.327341
75475.0,-96.25525,33.485315
75757.0,-95.3671,32.136787
63179.0,-90.243462,38.6531
63436.0,-91.5367,39.501697
57440.0,-98.27190999999999,44.857069
72112.0,-91.24695,35.586065000000005
72714.0,-94.23550999999999,36.458040999999994
99671.0,-162.27463,63.51189300000001
97304.0,-123.08033,44.970181
97414.0,-124.1716,42.977978
81148.0,-105.98648,37.171583
81423.0,-108.2586,38.082231
81505.0,-108.60506000000001,39.112514000000004
81624.0,-107.93413999999999,39.220166
82718.0,-105.52445,43.939968
89317.0,-115.02628,38.835421000000004
92232.0,-115.284581,33.026203
93227.0,-119.425371,36.357151
93234.0,-120.0847,36.209815
93529.0,-119.07768999999999,37.765218
93761.0,-119.63965800000001,36.746375
94931.0,-122.71043999999999,38.328614
95322.0,-121.03232,37.187494
30334.0,-84.439127,33.702657
36879.0,-85.55322,32.733511
38017.0,-89.67416999999999,35.057224
43984.0,-81.102502,40.296490000000006
46787.0,-85.62796,41.080236
31606.0,-83.19624,30.802411
55992.0,-92.68312,44.297157
13827.0,-76.25874,42.120274
14739.0,-78.14308,42.192384000000004
15227.0,-79.97516,40.377869
16877.0,-78.08561,40.721787
31732.0,-85.0557,31.169794
32621.0,-82.60452,29.447069
21634.0,-76.20146,38.288409
24008.0,-79.95786,37.274175
25645.0,-81.902401,37.833203999999995
34447.0,-82.574264,28.804910999999997
35004.0,-86.50249000000001,33.606379
27834.0,-77.37895999999999,35.626653000000005
28373.0,-79.47979000000001,35.100144
11703.0,-73.32257,40.733398
2909.0,-71.44775,41.8191
4617.0,-68.74399,44.363587
7961.0,-74.442797,40.77975
767.0,-65.89703,18.072751999999998
803.0,-64.96371500000001,18.322285
43681.0,-83.43943,41.686778000000004
36744.0,-87.60177,32.703528999999996
37616.0,-82.74704,36.218863
38602.0,-90.106756,34.686271999999995
50519.0,-94.27644000000001,42.884723
40081.0,-85.492459,38.3386
30444.0,-84.450276,33.696073
90038.0,-118.3285,34.089459000000005
90063.0,-118.1865,34.045161
92709.0,-117.769442,33.640302
93492.0,-120.85939099999999,35.372861
94175.0,-122.727802,37.784827
84530.0,-109.15445,38.236886
95592.0,-122.271251,38.098737
38138.0,-89.80677,35.088885
40298.0,-85.676819,38.188962
56517.0,-96.53492,47.55171
57841.0,-98.704197,45.632378
58323.0,-98.90525,48.849591
58533.0,-101.82853,46.408171
58771.0,-101.9763,48.073997999999996
58793.0,-101.04936,48.871815000000005
53171.0,-87.903161,42.642298
53189.0,-88.264,42.967394
56091.0,-93.69492,43.930363
43733.0,-81.542965,39.923615999999996
47613.0,-87.42886,38.170645
51049.0,-95.61438000000001,42.626822
51651.0,-95.024969,40.65747
53014.0,-88.17626,44.033215000000006
43334.0,-82.80783000000001,40.399648
62206.0,-90.1628,38.564451
64155.0,-94.57344,39.276828
48215.0,-82.95243,42.378287
