,eventCompletionTimestamp,eventTimestamp,pickupTimestamp,requestGUID,responseTime,segments.requestExperience,segments.segmentTimestamp,segments.transactionTime,segments.userData.age,segments.userData.ccavg,segments.userData.cd_account,segments.userData.creditcard,segments.userData.education,segments.userData.experience,segments.userData.family,segments.userData.income,segments.userData.mortgage,segments.userData.online,segments.userData.personal_loan,segments.userData.securities_account,segments.userData.zip_code,segments.userData.﻿id,transactionId,transactionName,userExperience
0,2020-02-11T07:47:06-05:00,2020-02-11T07:46:45-05:00,2020-02-11T07:47:07-05:00,83e1da7f-1ab5-4a3c-8f70-19d2196d3a6b,21,NORMAL,2020-02-11T07:46:45-05:00,21,65.0,0.5,0.0,0.0,2.0,40.0,3.0,49.0,0.0,1.0,0.0,0.0,90034.0,4999.0,1127926,zip_91107,NORMAL
1,2020-02-11T07:47:06-05:00,2020-02-11T07:46:40-05:00,2020-02-11T07:47:07-05:00,8e232187-eb72-4e3c-9e3b-3ffcc8d26f4f,21,NORMAL,2020-02-11T07:46:40-05:00,21,63.0,0.3,0.0,0.0,3.0,39.0,2.0,24.0,0.0,0.0,0.0,0.0,93023.0,4998.0,1127926,zip_91107,NORMAL
2,2020-02-11T07:47:06-05:00,2020-02-11T07:46:35-05:00,2020-02-11T07:47:06-05:00,c323894c-00de-4e6e-8f98-d8aabca8de48,20,NORMAL,2020-02-11T07:46:35-05:00,20,30.0,0.4,0.0,0.0,1.0,4.0,4.0,15.0,85.0,1.0,0.0,0.0,92037.0,4997.0,1127926,zip_91107,NORMAL
3,2020-02-11T07:47:06-05:00,2020-02-11T07:46:30-05:00,2020-02-11T07:47:06-05:00,595ec039-3c30-4a49-9ea0-b955d947ce52,21,NORMAL,2020-02-11T07:46:30-05:00,21,29.0,1.9,0.0,0.0,3.0,3.0,1.0,40.0,0.0,1.0,0.0,0.0,92697.0,4996.0,1127926,zip_91107,NORMAL
4,2020-02-11T07:47:06-05:00,2020-02-11T07:46:25-05:00,2020-02-11T07:47:06-05:00,21140969-c08a-4d87-8541-8f3020094caa,21,NORMAL,2020-02-11T07:46:25-05:00,21,64.0,2.0,0.0,0.0,3.0,40.0,3.0,75.0,0.0,1.0,0.0,0.0,94588.0,4995.0,1127926,zip_91107,NORMAL
5,2020-02-11T07:47:06-05:00,2020-02-11T07:46:20-05:00,2020-02-11T07:47:07-05:00,81c7272a-6007-48be-b7e6-014274eeb348,21,NORMAL,2020-02-11T07:46:20-05:00,21,45.0,6.67,0.0,0.0,1.0,21.0,2.0,218.0,0.0,1.0,0.0,0.0,91801.0,4994.0,1127926,zip_91107,NORMAL
6,2020-02-11T07:46:36-05:00,2020-02-11T07:46:15-05:00,2020-02-11T07:46:37-05:00,9dbd92ee-91e6-4cdc-801c-51ca2bf66e08,20,NORMAL,2020-02-11T07:46:15-05:00,20,30.0,0.5,0.0,0.0,3.0,5.0,4.0,13.0,0.0,0.0,0.0,0.0,90037.0,4993.0,1127926,zip_91107,NORMAL
7,2020-02-11T07:46:36-05:00,2020-02-11T07:46:10-05:00,2020-02-11T07:46:36-05:00,81f16c62-76e2-47f6-b94c-9464e699f391,20,NORMAL,2020-02-11T07:46:10-05:00,20,51.0,1.9,0.0,1.0,2.0,25.0,1.0,92.0,100.0,0.0,0.0,0.0,91330.0,4992.0,1127926,zip_91107,NORMAL
8,2020-02-11T07:46:36-05:00,2020-02-11T07:46:05-05:00,2020-02-11T07:46:37-05:00,c53889c0-65cc-4f0e-8071-b715c1261070,21,NORMAL,2020-02-11T07:46:05-05:00,21,55.0,2.0,0.0,1.0,3.0,25.0,4.0,58.0,219.0,0.0,0.0,0.0,95023.0,4991.0,1127926,zip_91107,NORMAL
9,2020-02-11T07:46:36-05:00,2020-02-11T07:46:00-05:00,2020-02-11T07:46:37-05:00,50258f89-c687-4442-ba6c-fd8f0702b1d7,20,NORMAL,2020-02-11T07:46:00-05:00,20,24.0,1.0,0.0,0.0,3.0,0.0,1.0,38.0,0.0,1.0,0.0,0.0,93555.0,4990.0,1127926,zip_91107,NORMAL
10,2020-02-11T07:46:36-05:00,2020-02-11T07:45:55-05:00,2020-02-11T07:46:37-05:00,2dd2846b-91cc-45b6-8f91-6d139cf5a236,20,NORMAL,2020-02-11T07:45:55-05:00,20,34.0,2.5,0.0,1.0,1.0,8.0,1.0,85.0,136.0,0.0,0.0,0.0,95134.0,4989.0,1127926,zip_91107,NORMAL
11,2020-02-11T07:46:36-05:00,2020-02-11T07:45:50-05:00,2020-02-11T07:46:37-05:00,36c3c755-d63a-4086-8f05-73db5b82d5c2,20,NORMAL,2020-02-11T07:45:50-05:00,20,48.0,1.7,0.0,0.0,2.0,23.0,3.0,43.0,159.0,1.0,0.0,0.0,93943.0,4988.0,1127926,zip_91107,NORMAL
12,2020-02-11T07:46:06-05:00,2020-02-11T07:45:45-05:00,2020-02-11T07:46:07-05:00,70afd82b-2b2b-41a5-9425-4409a78c4072,21,NORMAL,2020-02-11T07:45:45-05:00,21,32.0,2.9,0.0,0.0,3.0,6.0,1.0,78.0,0.0,0.0,0.0,0.0,95825.0,4987.0,1127926,zip_91107,NORMAL
13,2020-02-11T07:46:06-05:00,2020-02-11T07:45:40-05:00,2020-02-11T07:46:07-05:00,e617643b-3bca-4d02-9fa1-075b965c7638,21,NORMAL,2020-02-11T07:45:40-05:00,21,48.0,1.7,0.0,0.0,2.0,23.0,3.0,30.0,162.0,1.0,0.0,0.0,94720.0,4986.0,1127926,zip_91107,NORMAL
14,2020-02-11T07:46:06-05:00,2020-02-11T07:45:35-05:00,2020-02-11T07:46:07-05:00,86980050-6ec1-4ed0-9f29-587421d30e84,21,NORMAL,2020-02-11T07:45:35-05:00,21,27.0,2.3,0.0,1.0,3.0,1.0,4.0,98.0,0.0,0.0,0.0,0.0,94043.0,4985.0,1127926,zip_91107,NORMAL
15,2020-02-11T07:46:06-05:00,2020-02-11T07:45:30-05:00,2020-02-11T07:46:07-05:00,d4113e25-b418-4e1b-b5b0-fd8125df548b,20,NORMAL,2020-02-11T07:45:30-05:00,20,51.0,2.9,0.0,0.0,1.0,26.0,1.0,72.0,0.0,0.0,0.0,0.0,95370.0,4984.0,1127926,zip_91107,NORMAL
16,2020-02-11T07:46:06-05:00,2020-02-11T07:45:25-05:00,2020-02-11T07:46:07-05:00,203851d2-fcfc-48c4-92bf-bf227b8dd12c,20,NORMAL,2020-02-11T07:45:25-05:00,20,36.0,0.2,0.0,1.0,1.0,10.0,4.0,45.0,0.0,0.0,0.0,0.0,95126.0,4983.0,1127926,zip_91107,NORMAL
